model,feature,mean_importance,std_importance,mean_base_auc
ELM,Age,0.0016474780701754323,0.03122100229895608,0.5140899122807017
ELM,Gender,0.007735745614035077,0.029099011558577657,0.5140899122807017
ELM,BMI,-0.0010087719298245699,0.035568386274857006,0.5140899122807017
ELM,Snoring,-0.003591008771929829,0.02663299928325216,0.5140899122807017
ELM,Oxygen_Saturation,-0.012324561403508776,0.03161989196463021,0.5140899122807017
ELM,AHI,0.019851973684210523,0.04459206712182366,0.5140899122807017
ELM,ECG_Heart_Rate,-0.01296600877192983,0.02225472403936766,0.5140899122807017
ELM,SpO2,-0.0037911184210526394,0.03415524680985538,0.5140899122807017
ELM,Nasal_Airflow,0.0013980263157894737,0.03226655939658784,0.5140899122807017
ELM,Chest_Movement,0.00401041666666666,0.02948242398749108,0.5140899122807017
HGS,Age,0.006378837719298244,0.02535392572731229,0.5174890350877193
HGS,Gender,0.008604714912280698,0.035183083966920776,0.5174890350877193
HGS,BMI,0.0032264254385964914,0.03460785322526254,0.5174890350877193
HGS,Snoring,-0.0022642543859649096,0.03877772985610016,0.5174890350877193
HGS,Oxygen_Saturation,0.007039473684210526,0.02368289063898576,0.5174890350877193
HGS,AHI,0.011546052631578946,0.02768482015073318,0.5174890350877193
HGS,ECG_Heart_Rate,-0.008223684210526315,0.03827688133334856,0.5174890350877193
HGS,SpO2,0.0007593201754385961,0.020125730042344005,0.5174890350877193
HGS,Nasal_Airflow,-0.01254934210526315,0.03985763236601837,0.5174890350877193
HGS,Chest_Movement,-0.01307017543859649,0.03182854090629378,0.5174890350877193
XGB,Age,0.02761376096491226,0.04686322218684578,0.5552905701754386
XGB,Gender,0.00048793859649121356,0.01249889763853457,0.5552905701754386
XGB,BMI,-0.000158991228070195,0.02773607189243294,0.5552905701754386
XGB,Snoring,-0.0013157894736842285,0.006817996582005169,0.5552905701754386
XGB,Oxygen_Saturation,-0.007875548245614055,0.01367005030366936,0.5552905701754386
XGB,AHI,0.038056469298245583,0.026906727370252,0.5552905701754386
XGB,ECG_Heart_Rate,-0.0011910635964912397,0.0249838357585025,0.5552905701754386
XGB,SpO2,-0.009015899122807034,0.017081417783332418,0.5552905701754386
XGB,Nasal_Airflow,-0.015548245614035111,0.012997035342817645,0.5552905701754386
XGB,Chest_Movement,0.009307839912280676,0.03208812688851831,0.5552905701754386
